ad_name,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,confidence,notes,source,tagged_at
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Seema_170326,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Suzy_170326,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Abhilasha_170326,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Engagement,Concept-Clarity",UGC-polished,English,"I love a good mom hack, but this one actually changed our everyday routine.",Cuemath even offers a free trial.,He asks questions freely and gets instant feedback. Math time is no longer a struggle.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Jayashree_170326,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Jugnu_170326,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_170326,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_200426,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Sahar_170326,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Seema_170326,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Suzy_170326,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part1_Signup_LP_Postboost_Video_Deepthi_Bandaru_240426,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part1_Signup_LP_Postboost_Video_Nidhi_240426,Anxiety,Memorization-vs-Understanding,Free-Class,Anonymous,"Foundation,Confidence",UGC-polished,English,This year he will either love math or totally hate it. I wasn't ready to leave it to luck.,Book a free Cuemath trial class today.,Visual tools and logic games that turn abstract concepts into something real.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part2_Signup_LP_Postboost_Video_Alev_240426,Enrichment,1-1-Personalization,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"She's always been good at math, but I knew school alone wouldn't be enough.",Check out the free trial class.,Visual and interactive methods that actually help her understand the concepts.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part2_Signup_LP_Postboost_Video_Suzy_240426,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Ana_240426,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Anudeep_240426,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Jayashree_240426,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part2_Signup_LP_Postboost_Video_Priyanka_D_240426,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Mama, if one apple costs $3, how much would seven apples cost? $21. So easy.",If you want to try out for a free Cuemath trial class.,"His tutor goes at his pace, makes sure he really understand math and focuses on reasoning.",High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part3_Signup_LP_Postboost_Video_Seema_240426,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part4_Signup_LP_Postboost_Video_ARIGELA_KEERTHI_PRIYA_290426,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part1_NA_Video_Sahar_060426,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part1_NA_Video_Seema_060426,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Abhilasha_060426,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Engagement,Concept-Clarity",UGC-polished,English,"I love a good mom hack, but this one actually changed our everyday routine.",Cuemath even offers a free trial.,He asks questions freely and gets instant feedback. Math time is no longer a struggle.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Jayashree_060426,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Jugnu_060426,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Suzy_060426,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Signup_Video_Deepthi_230226,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Signup_Video_Shweta_Negi_230226,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Video_Anudeep_230226,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Video_Keerthi_230226,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Signup_Video_Deepthi_230226,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Signup_Video_Shweta_Negi_230226,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Anudeep_230226,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Keerthi_230226,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Priyanshul-IG_250226,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul-2_060126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Ana_150126,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Anudeep_180226,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Deepthi_180226,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Heena_200126,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_050326,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_230126,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_310326,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul-IG-video_280126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul_YT_110326,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm-LP_NA_Video_Priyanshul-2_050126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm-LP_NA_Video_Priyanshul_050126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Ana_150126,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Anudeep_180226,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Deepthi_180226,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Heena_200126,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Jia_300126,Behavioral-Outcome,1-1-Personalization,Recommendation,Anonymous,"Engagement,Foundation",UGC-polished,English,I'm glad that my daughter is finally engaged with something productive.,I can't recommend this enough.,"They're building strong math foundation, playing fun math games.",High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Keerthi_230126,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-2_090126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-IG-video_280126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-IG_180226,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_090126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_YT_110326,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_310326,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Heena_030226,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Keerthi_030226,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_LAL_Enrolled_Signup_Old-LP_35-55_Influencer_NA_Video_Priyanshul_IG_video_290126,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Influencers_Nidhi_150426,Anxiety,Memorization-vs-Understanding,Free-Class,Anonymous,"Foundation,Confidence",UGC-polished,English,This year he will either love math or totally hate it. I wasn't ready to leave it to luck.,Book a free Cuemath trial class today.,Visual tools and logic games that turn abstract concepts into something real.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Influencers_Priyanshul_150426,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.,v3-influencer,2026-04-30
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Influencers_Sayani_150426,Enrichment,1-1-Personalization,Try-Cuemath,Anonymous,"Foundation,Engagement",UGC-polished,English,She's good with numbers - but I think she has more potential.,"If you have a young kid, this approach is worth checking out.",Not memorising numbers - but understanding what numbers mean and how they work.,High,,v3-influencer,2026-04-30
USA_FB_Leads_Conv_PayU_LAL_New_Audience_Signup_New_BAU_NRI_LP_Influencer_Perf_Edit_2_NA_Video_Perf_Influencer_Jia_US_250326,Behavioral-Outcome,1-1-Personalization,Recommendation,Anonymous,"Engagement,Foundation",UGC-polished,English,I'm glad that my daughter is finally engaged with something productive.,I can't recommend this enough.,"They're building strong math foundation, playing fun math games.",High,,v3-influencer,2026-04-30
