canonical,ad_name,notion_id,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,visual_text_seen,confidence,notes
anz_fb_leads_conv_locations_australia_static_w-naplan-boost-,ANZ_FB_Leads_Conv_Locations_Australia_Static_W-NAPLAN-Boost-Math_060226,2d58897caec78004bf5cc99416250587,63269,2,Competition,Competition-Prep,Offer-led,Anonymous,Competition-Prep,Static-Graphic,English,"Boost NAPLAN Maths","Up to 20% Off + Free Workbooks","NAPLAN-style questions","W-NAPLAN-Boost-Math | Locations targeting | 20% Off",High,
anz_fb_leads_conv_lal-ql-0to2%_australia_static_y-testimonia,ANZ_FB_Leads_Conv_LAL-QL-0to2%_Australia_Static_Y-Testimonial-Vishal_090326,3148897caec78012baaaf17b77aca7d1,59886,3,Competition,Outcome-First,Free-Class,Named-child,Competition-Prep,UGC-polished,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN top 5%","Vishal NAPLAN testimonial | LAL-QL-0to2% targeting | child featured",High,
static_chinese_ace_math_competition,Static_Chinese_Ace_math_competition_030426,,55559,2,Competition,Cultural-Relatability,Free-Class,Named-child,Competition-Prep,Static-Graphic,Mandarin,"Ace Math Competition - Chinese",Book a Free Class,"competition prep","Static Chinese Ace Math Competition | Chinese PLA | child feature",Medium,Notion match not located; Chinese PLA competition static
strong-math-foundations-v2,MEA_AKT_FB_Leads_Conv_Dubai_Premium_Ecom_Brands_LP_Signup_NA_Static-Strong-Math-Foundations-V2-100226,2958897caec7805fba91cae7026816c3,55509,3,Anxiety,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Make Math a Strength, Not a Struggle",Book Your Free Class Today,"From confusion to confidence","Strong Math Foundations V2 | Dubai Premium | Highest Rated in US",High,
static_y-ch-family,Static_Y-Ch-Family_230226,,49852,2,Cultural,Cultural-Relatability,Free-Class,Anonymous,Foundation,Static-Graphic,Mandarin,"Y-Ch-Family Chinese family frame",Book a Free Class,"strong math foundations","Y-Ch-Family | Chinese PLA family-themed static",Low,Notion not located; Chinese PLA family-frame inferred
christmas-ho-ho-ho,Mea_PFX_FB_Leads-Conv_NA_Int-Female_LeadGen_NA_Static-Christmas-Ho-Ho-Ho-051225,2bd8897caec780dfaaa7cd787447a58d,48843,2,Cultural,Outcome-First,Offer-led,Anonymous,Foundation,Static-Graphic,English,"Ho Ho Ho! Better Math Learning is on its Way","Get 20% Off | Book a Free 1:1 Class","focused attention, clear explanations","Christmas Ho Ho Ho | 20% Off | Better Math Learning is on its Way | MEA",High,
anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-nap,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-NAPLAN-Boost-Math_290126,2d58897caec78004bf5cc99416250587,45782,3,Competition,Competition-Prep,Offer-led,Anonymous,Competition-Prep,Static-Graphic,English,"Boost NAPLAN Maths","Up to 20% Off + Free Workbooks","NAPLAN-style questions","W-NAPLAN-Boost-Math | Parents-All-Pri+Sec | 20% Off",High,
anz_fb_leads_conv_int-parenting_australia_static_naplan-chin,ANZ_FB_Leads_Conv_Int-Parenting_Australia_Static_NAPLAN-Chinese_050126,2d58897caec78004bf5cc99416250587,41648,2,Competition,Cultural-Relatability,Offer-led,Anonymous,Competition-Prep,Static-Graphic,Mandarin,"NAPLAN prep — Chinese","Up to 20% Off + Free Workbooks","NAPLAN-style","NAPLAN-Chinese | Int-Parenting interest | Chinese-Australian families",Medium,
anz-sg_fb_leads_conv_int4c_singapore_static_strong-maths-fou,ANZ-SG_FB_Leads_Conv_int4C_Singapore_Static_Strong-Maths-Foundations_110226,32f8897caec7809fb096d641ec1e4d6f,32226,2,Cultural,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Strong Maths Foundations - Singapore",Book a Free Class,"strong foundations","Strong-Maths-Foundations | Singapore int4C | 4.9 Trustpilot | Top tutors",High,
na_video_brand-mission-27s,MEA_AKT_FB_Leads_Conv_UAE_High_Intent_Targeting_Signup_LP_NA_Video_Brand-Mission-27s_080226,2958897caec7805fba91cae7026816c3,29520,2,Enrichment,Outcome-First,Free-Class,Anonymous,Foundation,Static-Graphic,English,"Cuemath brand mission",Book a Free Class,"strong foundation for life","Brand-Mission 27s | UAE High Intent | Cuemath mission narrative",Medium,Despite '_video_' filename it is tagged as static graphic in CSV (creative_type=Static); brand mission frame
strong-math-foundations,USA_FB_Leads_Conv_LAL_Enrolled_35-55_Republic_Day_LeadGen_NA_Static-strong-math-foundations-200126,2de8897caec780acab62e8241aa90e55,24325,2,Academic-Outcome,Outcome-First,Offer-led,Named-child,Foundation,Static-Graphic,English,"Strong Math Foundations Start Here","Republic Day Offer: 25% OFF | Book a Free Class","strong fundamentals","Strong Math Foundations | Republic Day | 25% OFF | 1:1 with Top Indian Tutors",High,
static_accelerate_toward_ap_calculus_bc,USA_FB_Leads_Conv_CTF_LAL_Enrolled_Signup_LP_Static_Accelerate_Toward_AP_Calculus_BC_180326,3148897caec780448dfac81e9d71577c,22015,3,Academic-Outcome,Top-Tutors,Free-Class,Anonymous,"Topic-Calculus,Late-Stage-HS",Static-Graphic,English,"Accelerate Toward AP Calculus BC",Book a Free Trial Class,"AP Calculus BC","Accelerate Toward AP Calculus BC | 1:1 Online Tutoring | Top Indian Tutors",High,
anz_fb_leads_conv_parents-all-pri+sec_australia_static_w-tes,ANZ_FB_Leads_Conv_Parents-All-Pri+Sec_Australia_Static_W-Testimonial-NAPLAN_290126,3148897caec78012baaaf17b77aca7d1,19070,2,Competition,Outcome-First,Free-Class,Named-parent,Competition-Prep,Static-Graphic,English,"How is your child preparing for NAPLAN?",Book a Free Class,"NAPLAN top 5%","W-Testimonial-NAPLAN | Vishal | Parents-All-Pri+Sec",High,
