ad_name,talent,spend,TD,hook_frame,master_frame,close_type,specificity,pain_target,production_cue,language,evidence_hook,evidence_close,evidence_pain,confidence,notes
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Jugnu_170326,Jugnu,7956,0,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Priyanshul_170326,Priyanshul,77794,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Sahar_170326,Sahar,14866,0,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Seema_170326,Seema,25396,1,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Placement_Targeting_Video_Suzy_170326,Suzy,11202,0,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Abhilasha_170326,Abhilasha,9705,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Engagement,Concept-Clarity",UGC-polished,English,"I love a good mom hack, but this one actually changed our everyday routine.",Cuemath even offers a free trial.,He asks questions freely and gets instant feedback. Math time is no longer a struggle.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Jayashree_170326,Jayashree,13269,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Jugnu_170326,Jugnu,8044,0,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_170326,Priyanshul,331799,8,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Priyanshul_200426,Priyanshul,32053,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Sahar_170326,Sahar,39527,0,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Seema_170326,Seema,15112,0,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,
USA_FB_Leads_Conv_Influencer_LAL_Enrolled_Signup_LP_Postboost_Video_Suzy_170326,Suzy,8158,0,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part1_Signup_LP_Postboost_Video_Deepthi_Bandaru_240426,Deepthi,21511,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part1_Signup_LP_Postboost_Video_Nidhi_240426,Nidhi,68667,0,Anxiety,Memorization-vs-Understanding,Free-Class,Anonymous,"Foundation,Confidence",UGC-polished,English,This year he will either love math or totally hate it. I wasn't ready to leave it to luck.,Book a free Cuemath trial class today.,Visual tools and logic games that turn abstract concepts into something real.,High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part2_Signup_LP_Postboost_Video_Alev_240426,Alev,260,0,Enrichment,1-1-Personalization,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"She's always been good at math, but I knew school alone wouldn't be enough.",Check out the free trial class.,Visual and interactive methods that actually help her understand the concepts.,High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_High_School_Part2_Signup_LP_Postboost_Video_Suzy_240426,Suzy,13779,0,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Ana_240426,Ana,71,0,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Anudeep_240426,Anudeep,9800,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part1_Signup_LP_Postboost_Video_Jayashree_240426,Jayashree,6944,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part2_Signup_LP_Postboost_Video_Priyanka_D_240426,Priyanka D,5988,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Mama, if one apple costs $3, how much would seven apples cost? $21. So easy.",If you want to try out for a free Cuemath trial class.,"His tutor goes at his pace, makes sure he really understand math and focuses on reasoning.",High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part3_Signup_LP_Postboost_Video_Seema_240426,Seema,1113,0,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,
USA_FB_Leads_Conv_Influencer_LAL_Razorpay_Part4_Signup_LP_Postboost_Video_ARIGELA_KEERTHI_PRIYA_290426,Keerthi,2590,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part1_NA_Video_Sahar_060426,Sahar,1957,0,Child-diagnosis,MathFit,Free-Class,Anonymous,Concept-Clarity,UGC-polished,English,"He could sometimes get the right answer in math. But when I asked him how he solved it, he couldn't really explain it.",You can also try their free trial class.,"They call it becoming MathFit, developing real problem solving and reasoning skills.",High,Script says QMath but means Cuemath.
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part1_NA_Video_Seema_060426,Seema,31947,0,Child-diagnosis,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,Group classes with 20 to 30 kids did not give her the confidence to speak up.,Cuemath is offering one free one-on-one trial class.,"They make her think, explain her reasoning, and really understand the why.",High,
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Abhilasha_060426,Abhilasha,33397,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Engagement,Concept-Clarity",UGC-polished,English,"I love a good mom hack, but this one actually changed our everyday routine.",Cuemath even offers a free trial.,He asks questions freely and gets instant feedback. Math time is no longer a struggle.,High,
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Jayashree_060426,Jayashree,20175,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Engagement,UGC-polished,English,She actually gets excited to sit at her desk for her Cuemath class.,"If you want your child to enjoy math like this, you should try it.",Her tutor really understands her learning style and keeps math fun.,High,
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Jugnu_060426,Jugnu,28773,0,Child-diagnosis,Memorization-vs-Understanding,Free-Class,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,We used to spend so much time on math homework that my daughter was often missing playtime.,"If you're curious, they offer a free trial class.",Their approach is not about memorizing formulas - it's really understanding the why behind math.,High,
USA_FB_Leads_Conv_Influencer_Postboost_Advantage_Parents_35_55_LeadGen_Part2_NA_Video_Suzy_060426,Suzy,800,0,Child-diagnosis,Memorization-vs-Understanding,Unclear,Anonymous,"Concept-Clarity,Confidence",UGC-polished,English,"Every time it was time for math homework, my daughter would get frustrated.",She showed me a math puzzle she solved on her own.,"Instead of memorising formulas, she finally started understanding the concepts.",High,No explicit CTA in script.
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Signup_Video_Deepthi_230226,Deepthi,8929,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Signup_Video_Shweta_Negi_230226,Shweta Negi,14662,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Video_Anudeep_230226,Anudeep,11734,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_NRI_Audience_LP_Signup_Video_Keerthi_230226,Keerthi,7979,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Signup_Video_Deepthi_230226,Deepthi,7229,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Signup_Video_Shweta_Negi_230226,Shweta Negi,23676,0,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Anudeep_230226,Anudeep,10382,0,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Keerthi_230226,Keerthi,9512,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_Influencer_PayU_New_Audience_LP_Signup_Video_Priyanshul-IG_250226,Priyanshul,29814,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul-2_060126,Priyanshul,3,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul-2_060126,Priyanshul,9765,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,Priyanshul,128,4,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Influencer_Postboost_35-55_Advantage_ShortForm-LP_NA_Video_Priyanshul_060126,Priyanshul,432664,4,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Ana_150126,Ana,12241,0,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Anudeep_180226,Anudeep,153756,3,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Deepthi_180226,Deepthi,82866,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Heena_200126,Heena,19102,1,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_050326,Keerthi,25039,1,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_230126,Keerthi,253214,10,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Keerthi_310326,Keerthi,21461,0,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul-IG-video_280126,Priyanshul,236527,9,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Priyanshul_YT_110326,Priyanshul,26325,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_New_Influencer_Postboost_35-55_Advantage_ShortForm_LP_Signup_Video_Shweta_Negi_180226,Shweta Negi,392208,9,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm-LP_NA_Video_Priyanshul-2_050126,Priyanshul,4540,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm-LP_NA_Video_Priyanshul_050126,Priyanshul,33374,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Ana_150126,Ana,14158,0,Enrichment,Memorization-vs-Understanding,Free-Class,Anonymous,Topic-Algebra,UGC-polished,English,I started using Cuemath for high school prep. My tutor just doesn't give me formulas to memorize.,Do them a favor and book the free trial.,Visual simulations that make advanced algebra and geometry actually make sense.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Anudeep_180226,Anudeep,126485,3,Behavioral-Outcome,Top-Tutors,Try-Cuemath,Anonymous,"Concept-Clarity,Personalization-Gap",UGC-polished,English,"Wow, I never thought the maths would be this good.",There will be a free Cuemath trial class. Try it once.,Personalized online 1-1 classes with top Indian tutors.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Deepthi_180226,Deepthi,94950,1,Behavioral-Outcome,1-1-Personalization,Free-Class,Anonymous,"Confidence,Personalization-Gap",UGC-polished,English,"Look, I solved this math puzzle all by myself and got the right answer.","If you want your child to have that one-on-one attention, book a free trial.",There is no pressure to keep up with the whole class.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Heena_200126,Heena,49238,0,Behavioral-Outcome,1-1-Personalization,Free-Class,Named-child,"Engagement,Concept-Clarity",UGC-polished,English,The math hack every mom needs to know - it changed how my daughter sees math.,Book a trial class.,We started with Cuemath for Aashna. They offer a personalized learning plan.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Jia_300126,Jia,104243,0,Behavioral-Outcome,1-1-Personalization,Recommendation,Anonymous,"Engagement,Foundation",UGC-polished,English,I'm glad that my daughter is finally engaged with something productive.,I can't recommend this enough.,"They're building strong math foundation, playing fun math games.",High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Keerthi_230126,Keerthi,147258,11,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Keerthi_230126,Keerthi,114487,11,Cultural,Cultural-Relatability,Try-Cuemath,Named-child,"Competition-Prep,Personalization-Gap",UGC-polished,English,As an NRI parent we always have the tension as to where to send for tuition specially for Math.,It is definitely worth it - please give it a try.,They also train for competitive exams like Math Kangaroo and AMC 8.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-2_090126,Priyanshul,25184,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-IG-video_280126,Priyanshul,22306,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul-IG_180226,Priyanshul,33467,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_090126,Priyanshul,586,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_090126,Priyanshul,157016,0,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Priyanshul_YT_110326,Priyanshul,28421,1,Cultural,1-1-Personalization,Free-Class,Named-child,Concept-Clarity,UGC-polished,Mixed,Chicago ka weather abhi kaafi unpredictable chal raha hai.,I'll share the free trial class link with you.,They focus on building concepts rather than rote learning.,High,Hinglish NRI dad-of-Govind frame.
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,Shweta Negi,281217,14,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_100226,Shweta Negi,67961,14,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
USA_FB_Leads_Conv_Int_Parents_Influencer_Postboost_35-55_ShortForm_Old-LP_Signup_Video_Shweta_Negi_310326,Shweta Negi,211467,5,Behavioral-Outcome,1-1-Personalization,Try-Cuemath,Anonymous,Concept-Clarity,UGC-polished,English,He's been doing these Cuemath Classes. I love the fact that it's 1:1.,So if you want to see your... try this.,Concepts. He isn't just counting anymore.,High,
